source_id	source_label	source_category	input_mode	match_rule	raw_dir	adapter_name	dependency_name	dependency_type	fallback_hint
local_pdf	PDF / 本地 PDF	core_builtin	file	file_ext:.pdf	raw/pdfs	-	-	none	直接提供文件路径即可进入主线
local_document	Markdown/文本/HTML	core_builtin	file	file_ext:.md,.txt,.html	raw/notes	-	-	none	直接提供文件路径即可进入主线
plain_text	纯文本粘贴	core_builtin	text	text:inline	raw/notes	-	-	none	直接粘贴正文即可进入主线
x_twitter	X/Twitter	optional_adapter	url	url_host:x.com,twitter.com	raw/tweets	baoyu-url-to-markdown	baoyu-url-to-markdown	bundled	自动提取失败时，改为复制全文粘贴
wechat_article	微信公众号	optional_adapter	url	url_host:mp.weixin.qq.com	raw/wechat	wechat-article-to-markdown	wechat-article-to-markdown	install_time	自动提取失败时，在浏览器打开后复制全文粘贴
youtube_video	YouTube	optional_adapter	url	url_host:youtube.com,youtu.be	raw/articles	youtube-transcript	youtube-transcript	bundled	自动提取失败时，提供字幕文件或手动粘贴文本
bilibili_video	哔哩哔哩	optional_adapter	url	url_host:bilibili.com,b23.tv	raw/articles	mcp:bilibili-mcp-server	bilibili-mcp-server	mcp_native	自动提取失败时，提供字幕或手动粘贴文本
zhihu_article	知乎	optional_adapter	url	url_host:zhihu.com	raw/zhihu	baoyu-url-to-markdown	baoyu-url-to-markdown	bundled	自动提取失败时，改为复制全文粘贴
xiaohongshu_post	小红书	optional_adapter	url	url_host:xiaohongshu.com,xhslink.com	raw/xiaohongshu	mcp:xhs-toolkit	xhs-toolkit	mcp_native	请先从 App 或网页复制内容，再粘贴进来
weibo_post	微博	optional_adapter	url	url_host:weibo.com,weibo.cn	raw/weibo	opencli:weibo	opencli	install_time	自动提取失败时，改为复制全文粘贴
xueqiu_post	雪球	optional_adapter	url	url_host:xueqiu.com	raw/finance	opencli:xueqiu	opencli	install_time	自动提取失败时，改为复制全文粘贴
jike_post	即刻	optional_adapter	url	url_host:okjike.com	raw/notes	opencli:jike	opencli	install_time	自动提取失败时，改为复制全文粘贴
v2ex_post	V2EX	optional_adapter	url	url_host:v2ex.com	raw/notes	opencli:v2ex	opencli	install_time	自动提取失败时，改为复制全文粘贴
other_link	其他链接	manual_only	url	url_host:manual.local	raw/notes	-	-	none	手动复制内容并粘贴
web_article	网页文章	optional_adapter	url	url_host:*	raw/articles	baoyu-url-to-markdown	baoyu-url-to-markdown	bundled	自动提取失败时，改为复制全文或保存为本地文件后继续
